PRODUCTO;ID;PRECIO;ESPECIFICACIONES;IMAGEN
Laptop Ultrabook;CLP-ULB-001;2800000;Core i5, 8GB RAM, 256GB SSD, Pantalla 14 pulgadas;
Laptop Gaming;CLP-GAM-002;6500000;Core i7, 16GB RAM, RTX 4060, 512GB SSD, Pantalla 15.6 pulgadas 144Hz;
Laptop Convertible 2-en-1;CLP-CNV-003;3500000;Core i5, 8GB RAM, 512GB SSD, Pantalla Táctil 13.3 pulgadas;
PC Gaming;CES-GAM-001;7200000;Ryzen 5, 16GB RAM, RTX 4070, 1TB SSD, Sin monitor;
PC All-in-One;CES-AIO-002;3100000;Core i5, 8GB RAM, 1TB HDD + 256GB SSD, Pantalla 24 pulgadas Full HD;
Torre PC (Solo CPU);CES-TOR-003;1800000;Core i3, 8GB RAM, 480GB SSD, Ideal para oficina, Sin Sistema Operativo;
Monitor Gaming;MON-GAM-001;1300000;27 pulgadas, Full HD, 144Hz, 1ms tiempo de respuesta, FreeSync/G-Sync compatible;
Monitor Profesional;MON-PRO-002;2200000;27 pulgadas, 4K UHD, IPS, Cobertura sRGB 99%, Ajustable en altura;
Monitor Curvo;MON-CRV-003;1900000;32 pulgadas, WQHD (2560x1440), 165Hz, VA Panel;
Tarjeta Gráfica;CMP-GPU-001;2100000;NVIDIA GeForce RTX 4060, 8GB GDDR6;
Procesador;CMP-CPU-002;1500000;Intel Core i7 13700K / AMD Ryzen 7 7700X;
Placa Base;CMP-MOB-003;850000;Chipset B650 (AMD AM5) / Z790 (Intel LGA1700), ATX;
Memoria RAM;CMP-RAM-004;450000;Kit 16GB (2x8GB) DDR5, 5200MHz;
SSD NVMe 1TB;CMP-SSD-005;380000;PCIe 4.0, Velocidades de lectura/escritura hasta 5000/4500 MB/s;
Disco Duro HDD 2TB;CMP-HDD-006;250000;SATA III, 7200 RPM, 3.5 pulgadas;
Fuente de Poder;CMP-PSU-007;550000;750W, Certificación 80+ Gold, Modular;
Gabinete PC;CMP-CAS-008;320000;ATX Mid-Tower, Panel lateral de vidrio templado, 3 ventiladores RGB incluidos;
Teclado Mecánico RGB;PER-TEC-001;350000;Switches (Rojo/Azul/Marrón), Iluminación RGB personalizable, Español (LA);
Ratón Gaming Programable;PER-MOU-002;180000;Hasta 12000 DPI, 6 botones programables, Iluminación RGB;
Webcam Full HD 1080p;PER-WEB-003;150000;1920x1080p a 30fps, Micrófono incorporado, Foco automático;
Micrófono USB para Streaming;PER-MIC-004;280000;Condensador, Patrón polar cardioide, Soporte de escritorio incluido;
Audífonos con Micrófono (Diadema Gamer);PER-HPH-005;250000;Sonido Envolvente 7.1 Virtual, Micrófono retráctil, RGB, Conexión USB/Jack 3.5mm;
Smartphone Gama Alta;MOV-SGA-001;5500000;Pantalla AMOLED 6.7 pulgadas, 128GB Almacenamiento, Triple cámara avanzada, 5G;
Smartphone Gama Media;MOV-SGM-002;1600000;Pantalla 6.5 pulgadas, 128GB Almacenamiento, Cámara principal 48MP, Batería 5000mAh;
Smartphone Gama Baja;MOV-SGB-003;700000;Pantalla 6.2 pulgadas, 64GB Almacenamiento, Dual SIM, Batería 4000mAh;
Tablet;MOV-TAB-001;2300000;Pantalla 10.9 pulgadas, 128GB Almacenamiento, Wi-Fi, Compatible con lápiz óptico;
Smartwatch;MOV-SMW-001;1700000;GPS, Monitor de ritmo cardíaco, SpO2, Notificaciones, Múltiples modos deportivos;
Pulsera de Actividad;MOV-PUL-002;180000;Monitor de pasos, sueño y ritmo cardíaco, Resistencia al agua 5ATM, Batería larga duración;
Audífonos Inalámbricos Over-ear;MOV-AUDI-001;900000;Cancelación activa de ruido (ANC), Bluetooth 5.0, Autonomía 20+ horas;
Audífonos con Cable In-ear;MOV-AUDC-002;120000;Drivers de alta fidelidad, Micrófono integrado, Varios tamaños de almohadillas;
Audífonos TWS (True Wireless Stereo);MOV-AUDT-003;650000;Estuche de carga, Bluetooth 5.2, Cancelación de ruido pasiva, Controles táctiles;
Audífonos Deportivos;MOV-AUDD-004;220000;Resistentes al sudor y agua (IPX5), Ajuste seguro para movimiento, Bluetooth;
Cargador de Pared;MOV-CARP-001;90000;Carga rápida 30W, Puerto USB-C PD (Power Delivery);
Power Bank;MOV-CARPB-002;130000;10.000 mAh, Doble puerto USB-A, Indicador LED de carga;
Cargador Inalámbrico;MOV-CARI-003;160000;Estándar Qi, Carga rápida 15W, Diseño delgado;
Funda para Smartphone;MOV-FUN-001;60000;Silicona TPU flexible / Policarbonato resistente, Varios modelos y colores;
Protector de Pantalla;MOV-PRO-002;40000;Vidrio templado 9H, Anti-rayas, Anti-huellas, Varios modelos;
Smart TV 55 pulgadas 4K UHD;AUV-TVS-001;2300000;Resolución 3840x2160, HDR, WebOS/Android TV/Tizen, Múltiples HDMI;
Televisor OLED 65 pulgadas 4K;AUV-TVO-002;7500000;Tecnología OLED, Contraste infinito, Dolby Vision/Atmos, Smart TV avanzado;
